Found 3188 unique RGB values that are not white, green, or black:
  78. RGB(np.uint8(253), np.uint8(205), np.uint8(156)) - appears    733 times
  79. RGB(np.uint8(255), np.uint8(196), np.uint8(140)) - appears    722 times
  80. RGB(np.uint8(255), np.uint8(209), np.uint8(160)) - appears    721 times
  81. RGB(np.uint8(254), np.uint8(194), np.uint8(133)) - appears    708 times
  82. RGB(np.uint8(254), np.uint8(216), np.uint8(175)) - appears    685 times
  83. RGB(np.uint8(255), np.uint8(192), np.uint8(133)) - appears    676 times
  84. RGB(np.uint8(255), np.uint8(221), np.uint8(185)) - appears    674 times
  85. RGB(np.uint8(255), np.uint8(195), np.uint8(135)) - appears    636 times
  86. RGB(np.uint8(221), np.uint8(167), np.uint8(115)) - appears    633 times
  87. RGB(np.uint8(254), np.uint8(195), np.uint8(139)) - appears    632 times
  88. RGB(np.uint8(253), np.uint8(206), np.uint8(154)) - appears    622 times
  89. RGB(np.uint8(253), np.uint8(187), np.uint8(124)) - appears    609 times
  90. RGB(np.uint8(254), np.uint8(209), np.uint8(164)) - appears    605 times
  91. RGB(np.uint8(255), np.uint8(216), np.uint8(174)) - appears    596 times
  92. RGB(np.uint8(253), np.uint8(224), np.uint8(190)) - appears    595 times
  93. RGB(np.uint8(254), np.uint8(188), np.uint8(125)) - appears    581 times
  94. RGB(np.uint8(252), np.uint8(192), np.uint8(129)) - appears    578 times
  95. RGB(np.uint8(254), np.uint8(207), np.uint8(155)) - appears    565 times
  96. RGB(np.uint8(255), np.uint8(198), np.uint8(142)) - appears    563 times
  97. RGB(np.uint8(255), np.uint8(205), np.uint8(152)) - appears    561 times
  98. RGB(np.uint8(219), np.uint8(170), np.uint8(114)) - appears    555 times
  99. RGB(np.uint8(253), np.uint8(201), np.uint8(149)) - appears    550 times
 100. RGB(np.uint8(253), np.uint8(226), np.uint8(196)) - appears    528 times
 101. RGB(np.uint8(255), np.uint8(210), np.uint8(163)) - appears    520 times
 102. RGB(np.uint8(254), np.uint8(222), np.uint8(185)) - appears    517 times
 103. RGB(np.uint8(252), np.uint8(192), np.uint8(132)) - appears    494 times
 104. RGB(np.uint8(218), np.uint8(169), np.uint8(113)) - appears    491 times
 105. RGB(np.uint8(255), np.uint8(193), np.uint8(130)) - appears    481 times
 106. RGB(np.uint8(254), np.uint8(225), np.uint8(193)) - appears    481 times
 107. RGB(np.uint8(255), np.uint8(211), np.uint8(166)) - appears    472 times
 108. RGB(np.uint8(255), np.uint8(203), np.uint8(151)) - appears    457 times
 109. RGB(np.uint8(252), np.uint8(201), np.uint8(146)) - appears    448 times
 110. RGB(np.uint8(252), np.uint8(190), np.uint8(125)) - appears    445 times
 111. RGB(np.uint8(255), np.uint8(219), np.uint8(182)) - appears    437 times
 112. RGB(np.uint8(255), np.uint8(199), np.uint8(146)) - appears    432 times
 113. RGB(np.uint8(254), np.uint8(207), np.uint8(161)) - appears    412 times
 114. RGB(np.uint8(253), np.uint8(190), np.uint8(130)) - appears    404 times
 115. RGB(np.uint8(254), np.uint8(192), np.uint8(127)) - appears    400 times
 116. RGB(np.uint8(219), np.uint8(168), np.uint8(113)) - appears    387 times
 117. RGB(np.uint8(254), np.uint8(227), np.uint8(198)) - appears    386 times
 118. RGB(np.uint8(252), np.uint8(190), np.uint8(127)) - appears    385 times
 119. RGB(np.uint8(253), np.uint8(210), np.uint8(165)) - appears    372 times
 120. RGB(np.uint8(255), np.uint8(194), np.uint8(137)) - appears    371 times
 121. RGB(np.uint8(245), np.uint8(197), np.uint8(148)) - appears    369 times
 122. RGB(np.uint8(255), np.uint8(226), np.uint8(194)) - appears    362 times
 123. RGB(np.uint8(254), np.uint8(208), np.uint8(158)) - appears    359 times
 124. RGB(np.uint8(253), np.uint8(196), np.uint8(142)) - appears    338 times
 125. RGB(np.uint8(218), np.uint8(168), np.uint8(117)) - appears    320 times
 126. RGB(np.uint8(255), np.uint8(207), np.uint8(159)) - appears    319 times
 127. RGB(np.uint8(254), np.uint8(206), np.uint8(158)) - appears    311 times
 128. RGB(np.uint8(219), np.uint8(167), np.uint8(117)) - appears    309 times
 129. RGB(np.uint8(254), np.uint8(221), np.uint8(186)) - appears    306 times
 130. RGB(np.uint8(251), np.uint8(196), np.uint8(137)) - appears    295 times
 131. RGB(np.uint8(252), np.uint8(195), np.uint8(139)) - appears    293 times
 132. RGB(np.uint8(254), np.uint8(213), np.uint8(167)) - appears    287 times
 133. RGB(np.uint8(253), np.uint8(189), np.uint8(127)) - appears    279 times
 134. RGB(np.uint8(255), np.uint8(200), np.uint8(143)) - appears    279 times
 135. RGB(np.uint8(254), np.uint8(229), np.uint8(199)) - appears    271 times
 136. RGB(np.uint8(255), np.uint8(190), np.uint8(124)) - appears    266 times
 137. RGB(np.uint8(254), np.uint8(191), np.uint8(124)) - appears    265 times
 138. RGB(np.uint8(254), np.uint8(198), np.uint8(139)) - appears    259 times
 139. RGB(np.uint8(252), np.uint8(197), np.uint8(140)) - appears    259 times
 140. RGB(np.uint8(247), np.uint8(196), np.uint8(148)) - appears    257 times
 141. RGB(np.uint8(254), np.uint8(218), np.uint8(176)) - appears    257 times
 142. RGB(np.uint8(255), np.uint8(198), np.uint8(144)) - appears    253 times
 143. RGB(np.uint8(254), np.uint8(215), np.uint8(174)) - appears    246 times
 144. RGB(np.uint8(254), np.uint8(216), np.uint8(177)) - appears    236 times
 145. RGB(np.uint8(253), np.uint8(200), np.uint8(142)) - appears    235 times
 146. RGB(np.uint8(253), np.uint8(199), np.uint8(145)) - appears    232 times
 147. RGB(np.uint8(255), np.uint8(222), np.uint8(189)) - appears    232 times
 148. RGB(np.uint8(254), np.uint8(225), np.uint8(191)) - appears    229 times
 149. RGB(np.uint8(253), np.uint8(202), np.uint8(146)) - appears    226 times
 150. RGB(np.uint8(253), np.uint8(229), np.uint8(199)) - appears    225 times
 151. RGB(np.uint8(255), np.uint8(212), np.uint8(167)) - appears    220 times
 152. RGB(np.uint8(253), np.uint8(207), np.uint8(158)) - appears    214 times
 153. RGB(np.uint8(253), np.uint8(193), np.uint8(130)) - appears    211 times
 154. RGB(np.uint8(255), np.uint8(206), np.uint8(155)) - appears    200 times
 155. RGB(np.uint8(253), np.uint8(214), np.uint8(172)) - appears    197 times
 156. RGB(np.uint8(251), np.uint8(191), np.uint8(130)) - appears    196 times
 157. RGB(np.uint8(252), np.uint8(187), np.uint8(121)) - appears    195 times
 158. RGB(np.uint8(255), np.uint8(220), np.uint8(180)) - appears    192 times
